day,id,slot
Monday,1,T1
Monday,2,T2
Monday,3,T3
Monday,4,T6
Monday,5,T5
Monday,6,T4
Monday,8,T10
Monday,9,T11
Monday,10,T12
Monday,11,L1M1
Monday,12,L1M2
Monday,13,L1E
Tuesday,1,T1
Tuesday,2,T3
Tuesday,3,T2
Tuesday,4,T4
Tuesday,5,T6
Tuesday,6,T5
Tuesday,8,T11
Tuesday,9,T12
Tuesday,10,T10
Tuesday,11,L2M1
Tuesday,12,L2M2
Tuesday,13,L2E
Wednesday,1,T1
Wednesday,2,T2
Wednesday,3,T3
Wednesday,4,T7
Wednesday,5,T9
Wednesday,6,T8
Wednesday,8,T12
Wednesday,9,T10
Wednesday,10,T11
Wednesday,11,L3M1
Wednesday,12,L3M2
Wednesday,13,L3E
Thursday,1,T1
Thursday,2,T2
Thursday,3,T3
Thursday,4,T9
Thursday,5,T7
Thursday,6,T8
Thursday,8,T10
Thursday,9,T11
Thursday,10,T12
Thursday,11,L4M1
Thursday,12,L4M2
Thursday,13,L4E
Friday,1,T5
Friday,2,T6
Friday,3,T4
Friday,4,T7
Friday,5,T8
Friday,11,L5M1
Saturday,1,T7
Saturday,2,T9
Saturday,3,T8
Saturday,4,T4
Saturday,5,T6
Saturday,6,T5
Saturday,11,L6M1
Saturday,12,L6M2
Saturday,13,L6E
